epoch,train_loss,val_loss,train_macro_f1,val_macro_f1
1,0.03660351899173111,0.007902192196653534,0.991442285879538,0.9981041662313819
2,0.00550917006819509,0.005841400279508283,0.9986874997116089,0.9986666664351851
3,0.003984003121188531,0.004984570584104707,0.9990468748839361,0.9988749998417968
4,0.0032501508580365527,0.004226408466231078,0.9992708332713036,0.9992291666261846
5,0.0028031011041797075,0.004048464940705647,0.9994062499922045,0.999249999953125
6,0.002427949494905382,0.004879308568546548,0.9994895833313395,0.9991874999206543
7,0.002544544894262799,0.0037395822338294237,0.9995208333258463,0.9993124999925402
8,0.002271073366466832,0.004932371273083845,0.9995624999995727,0.9991249999027778
9,0.0022245548653881996,0.0038796785367594564,0.9995312499975078,0.9993333333148148
10,0.002054131725773914,0.0033899583690217695,0.9996093749991417,0.9993541666596589
11,0.0019151534363190876,0.004136563531865249,0.99960416666628,0.9993333333148148
12,0.0019121049947134453,0.003548069490895917,0.9995729166655081,0.9993749999989149
13,0.001847937022736005,0.004663974367712702,0.9996093749999047,0.9991249998480902
14,0.0019382245836362321,0.00325548277599349,0.9995677083323835,0.99931249997583
15,0.0019715302401928057,0.0045899493611990085,0.9996197916661613,0.9992499999361979
