epoch,train_loss,val_loss,train_macro_f1,val_macro_f1
1,0.044003974059286216,0.00989315614484561,0.9880665236713315,0.9979791660272621
2,0.006613132096206149,0.007054516663464407,0.9986145830012602,0.9985624996100531
3,0.0049584623783982045,0.005710908646384875,0.9989479165103838,0.9986874996439614
4,0.0038721029634665076,0.004630781090973566,0.9991770832582386,0.9990624998531087
5,0.0034038226921499397,0.005038371213847616,0.9993229166401447,0.9990624998531087
6,0.0028492660005576907,0.004998855815366065,0.9994114583233551,0.9991041665542987
7,0.0027697312720896057,0.003777630490716547,0.9994583333304534,0.9992708333254214
8,0.002475613360283508,0.004979675012669759,0.9995208333325014,0.9991458332706795
9,0.002459576934634242,0.004259409279989389,0.9995364583333208,0.9992291666395671
10,0.002386311069916701,0.004454500481146776,0.9995520833328959,0.9992083332838542
