epoch,train_loss,val_loss,train_macro_f1,val_macro_f1
1,0.04129161640846481,0.009121033247870704,0.9891035069074203,0.9979583328229166
2,0.006997296276657532,0.007533373828046024,0.9985781245584024,0.9985624996699489
3,0.0058141351909531905,0.00649004695409288,0.9988854163880208,0.9987291660659992
4,0.004991429039742798,0.0059925319011478375,0.9990260414846571,0.9988749995605467
5,0.004557724077176924,0.005694045365089551,0.9991197915176492,0.9989374996638183
6,0.003976535712640422,0.005496475992995935,0.9991927082350278,0.9989999997899306
7,0.003891625061359567,0.005654477579480347,0.9992812499472792,0.9989999997499999
8,0.003435085530897292,0.004996674065943807,0.9993177083051821,0.9991041665542987
9,0.0032324797180093203,0.0047978132371402655,0.99939062497737,0.9991041665542987
10,0.003031551688443869,0.004422392530366778,0.9994270833293548,0.9993333333229166
11,0.003073079272561396,0.004289145267646139,0.9994687499963107,0.9992291666261846
12,0.0028781719372297327,0.004749125767712636,0.9994999999986436,0.9991874999404026
13,0.0028074506971558244,0.004848871474212501,0.9995729166664813,0.9991874999404026
