original_index,label,label_name,source_file,source_file_name,device,attack_type,true_label,pred_label,true_label_name,pred_label_name,attack_probability,confidence,confidence_uncertainty,entropy,entropy_norm,correct,priority_score,model
316647,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\5.benign.csv,5.benign.csv,device_5,benign,0,1,benign,attack,0.9991404,0.9991404,0.0008596182,0.0069272853,0.009993960211758366,0,0.5027403026161734,UVIF-IoT + T
331167,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\5.benign.csv,5.benign.csv,device_5,benign,0,1,benign,attack,0.9991404,0.9991404,0.0008596182,0.0069272853,0.009993960211758366,0,0.5027403026161734,UVIF-IoT + T
176682,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\3.benign.csv,3.benign.csv,device_3,benign,0,1,benign,attack,0.998958,0.998958,0.0010420084,0.008196107,0.011824483084891407,0,0.5032347424142095,UVIF-IoT + T
192681,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\9.benign.csv,9.benign.csv,device_9,benign,0,1,benign,attack,0.9988261,0.9988261,0.0011739135,0.009093935,0.013119774450708029,0,0.503583758291557,UVIF-IoT + T
418860,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\4.benign.csv,4.benign.csv,device_4,benign,0,1,benign,attack,0.99882275,0.99882275,0.0011772513,0.009116707,0.013152628511480665,0,0.5035926131488462,UVIF-IoT + T
474608,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\8.benign.csv,8.benign.csv,device_8,benign,0,1,benign,attack,0.99882275,0.99882275,0.0011772513,0.009116827,0.013152800494131528,0,0.5035926647436415,UVIF-IoT + T
207400,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\4.benign.csv,4.benign.csv,device_4,benign,0,1,benign,attack,0.9988225,0.9988225,0.0011774898,0.009117819,0.013154232787145744,0,0.5035930229088824,UVIF-IoT + T
450209,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\9.benign.csv,9.benign.csv,device_9,benign,0,1,benign,attack,0.9988223,0.9988223,0.0011777282,0.009119712,0.013156963011728192,0,0.5035937704535938,UVIF-IoT + T
425149,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\6.benign.csv,6.benign.csv,device_6,benign,0,1,benign,attack,0.9988223,0.9988223,0.0011777282,0.009119915,0.013157255919680443,0,0.5035938583259795,UVIF-IoT + T
228984,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\9.benign.csv,9.benign.csv,device_9,benign,0,1,benign,attack,0.9988223,0.9988223,0.0011777282,0.009119712,0.013156963011728192,0,0.5035937704535938,UVIF-IoT + T
